"country","cocoaProduction","pop2022"
"Ivory Coast","2034000","28160.5420"
"Ghana","883652","33475.8700"
"Indonesia","659776","275501.3390"
"Nigeria","328263","218541.2120"
"Cameroon","295028","27914.5360"
"Brazil","235809","215313.4980"
"Ecuador","205955","18001"
"Peru","121825","34049.5880"
"Dominican Republic","86599","11228.8210"
"Colombia","56808","51874.0240"
"Papua New Guinea","44504","10142.6190"
"Uganda","31312","47249.5850"
"Mexico","27287","127504.1250"
"Venezuela","23349","28301.6960"
"Togo","22522","8848.6990"
"India","19000","1417173.1730"
"Sierra Leone","14670","8605.7180"
"Haiti","14173","11584.9960"
"Guatemala","11803","17843.9080"
"Madagascar","11010","29611.7140"
"Guinea","10638","13859.3410"
"Liberia","8552","5302.6810"
"Tanzania","8548","65497.7480"
"Philippines","7009","115559.0090"
"Nicaragua","6600","6948.3920"
"Bolivia","5518","12224.1100"
"Solomon Islands","4940","724.2730"
"Republic of the Congo","4000","5970.4240"
"DR Congo","3758","99010.2120"
"Sao Tome and Principe","2778","227.3800"
"Vanuatu","1813","326.7400"
"Sri Lanka","1291","21832.1430"
"Malaysia","1029","33938.2210"
"Grenada","800","125.4380"
"Honduras","751","10432.8600"
"Panama","662","4408.5810"
"Costa Rica","545","5180.8290"
"Samoa","479","222.3820"
"Angola","442","35588.9870"
"Guyana","429","808.7260"
"Equatorial Guinea","413","1674.9080"
"El Salvador","357","6336.3920"
"Trinidad and Tobago","320","1531.0440"
"Dominica","312","72.7370"
"Jamaica","305","2827.3770"
"Belize","244","405.2720"
"Cuba","231","11212.1910"
"Saint Vincent and the Grenadines","222","103.9480"
"Gabon","187","2388.9920"
"Timor-Leste","176","1341.2960"
"Central African Republic","149","5579.1440"
"Thailand","125","71697.0300"
"Saint Lucia","51","179.8570"
"Comoros","40","836.7740"
"Micronesia","33","114.1640"
"Fiji","12","929.7660"
"Suriname","5","618.0400"
"American Samoa","1","44.2730"